ID	accessionNumber	scientificName	decimalLatitude	decimalLongitude	typeStatus	catalogueNumber	identifiedBy	taxonRank	country	locality	basisOfRecord	higherClassification
NR_075125	NR_075125	Methanosarcina mazei (Barker 1936) Mah and Kuhn 1986				DSM:3647		species			materialSample	Archaea;Euryarchaeota;Stenosarchaea group;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;Methanosarcina_mazei
NR_103911	NR_103911	Salinarchaeum sp. Harcht-Bsk1						species			materialSample	Archaea;Euryarchaeota;Stenosarchaea group;Halobacteria;Natrialbales;Natrialbaceae;Salinarchaeum;unclassified Salinarchaeum;Salinarchaeum_sp.
NR_103430	NR_103430	Thermoproteus uzoniensis 768-20						species	Russia	Kamchatka	materialSample	Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Thermoproteus;Thermoproteus_uzoniensis
NR_103423	NR_103423	Aeropyrum pernix K1						species			materialSample	Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Aeropyrum;Aeropyrum_pernix
NR_103295	NR_103295	Candidatus Nitrososphaera gargensis Ga9.2						genus			materialSample	Archaea;Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Nitrososphaera;Candidatus_Nitrososphaera
NR_103265	NR_103265	Nanoarchaeum equitans Kin4-M						species			materialSample	Archaea;Nanoarchaeota;Nanoarchaeia;Nanoarchaeales;Nanoarchaeaceae;Nanoarchaeum;Nanoarchaeum_equitans
NR_103245	NR_103245	Candidatus Nitrosopumilus koreensis AR1						genus			materialSample	Archaea;Thaumarchaeota;Nitrosopumilales;Nitrosopumilaceae;Nitrosopumilus;Candidatus_Nitrosopumilus
NR_103242	NR_103242	"Nitrosopumilus maritimus" Konneke et al. 2006			TYPE			genus			materialSample	Archaea;Thaumarchaeota;Nitrosopumilales;Nitrosopumilaceae;Nitrosopumilus;"Nitrosopumilus_maritimus"
NR_103240	NR_103240	Methanobacterium lacus Borrel et al. 2012						species			materialSample	Archaea;Euryarchaeota;Methanomada group;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium;Methanobacterium_lacus
NR_103234	NR_103234	Acidianus hospitalis W1						species			materialSample	Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Acidianus;Acidianus_hospitalis
NR_103233	NR_103233	Methanolacinia petrolearia (Ollivier et al. 1998) Goker et al. 2015			TYPE	DSM:11571		species			materialSample	Archaea;Euryarchaeota;Stenosarchaea group;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanolacinia;Methanolacinia_petrolearia
NR_103229	NR_103229	Methanosaeta harundinacea 6Ac						genus			materialSample	Archaea;Euryarchaeota;Stenosarchaea group;Methanomicrobia;Methanosarcinales;Methanotrichaceae;Methanothrix;Methanosaeta_harundinacea
NR_103227	NR_103227	Halogeometricum borinquense Montalvo-Rodrguez et al. 1998			TYPE	DSM:11551		species			materialSample	Archaea;Euryarchaeota;Stenosarchaea group;Halobacteria;Haloferacales;Haloferacaceae;Halogeometricum;Halogeometricum_borinquense
NR_075764	NR_075764	Methanococcus voltae A3						species			materialSample	Archaea;Euryarchaeota;Methanomada group;Methanococci;Methanococcales;Methanococcaceae;Methanococcus;Methanococcus_voltae
NR_075723	NR_075723	Methanocaldococcus sp. FS406-22						species			materialSample	Archaea;Euryarchaeota;Methanomada group;Methanococci;Methanococcales;Methanocaldococcaceae;Methanocaldococcus;unclassified Methanocaldococcus;Methanocaldococcus_sp.
NR_075626	NR_075626	Sulfolobus islandicus M.14.25						species			materialSample	Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus;Sulfolobus_islandicus
NR_075555	NR_075555	Candidatus Korarchaeum cryptofilum OPF8						species			materialSample	Archaea;Candidatus Korarchaeota;Candidatus Korarchaeum;Candidatus_Korarchaeum
NR_075436	NR_075436	Thermofilum pendens Zillig and Gierl 1983						species			materialSample	Archaea;Crenarchaeota;Thermoprotei;Thermofilales;Thermofilaceae;Thermofilum;Thermofilum_pendens
NR_075425	NR_075425	"Methanothrix thermoacetophila" Nozhevnikova and Chudina 1984			TYPE	DSM:6194		genus			materialSample	Archaea;Euryarchaeota;Stenosarchaea group;Methanomicrobia;Methanosarcinales;Methanotrichaceae;Methanothrix;"Methanothrix_thermoacetophila"
NR_075338	NR_075338	Methanosarcina barkeri str. Fusaro						species			materialSample	Archaea;Euryarchaeota;Stenosarchaea group;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;Methanosarcina_barkeri
