ID	accessionNumber	scientificName	decimalLatitude	decimalLongitude	typeStatus	catalogueNumber	identifiedBy	taxonRank	country	locality	basisOfRecord	higherClassification
NR_200027	NR_200027	Methanobrevibacter intestini Weinberger et al. 2025			TYPE			species			materialSample	Archaea;Methanobacteriati;Methanobacteriota;Methanomada group;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;Methanobrevibacter_intestini
NR_199977	NR_199977	Methanosuratincola petrocarbonis Wu et al. 2025			TYPE			species			materialSample	Archaea;Thermoproteota;Methanosuratincolia;Methanosuratincolales;Methanosuratincolaceae;Methanosuratincola;Methanosuratincola_petrocarbonis
NR_199477	NR_199477	Methanococcoides cohabitans Li et al. 2025			TYPE			species			materialSample	Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanococcoides;Methanococcoides_cohabitans
NR_199476	NR_199476	Methanochimaera problematica Zhou et al. 2024	22.06	119.80	TYPE			species			materialSample	Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanochimaera;Methanochimaera_problematica
NR_199475	NR_199475	Methanobacterium aridiramus Lee et al. 2025			TYPE	BCRC:AR10053		species			materialSample	Archaea;Methanobacteriati;Methanobacteriota;Methanomada group;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium;Methanobacterium_aridiramus
NR_197656	NR_197656	Methanoculleus nereidis Lai et al. 2024	22.1532	119.8694	TYPE			species			materialSample	Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanoculleus;Methanoculleus_nereidis
NR_197654	NR_197654	Methanoculleus caldifontis Lai et al. 2024	24.861300	121.831000	TYPE			species			materialSample	Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanoculleus;Methanoculleus_caldifontis
NR_197651	NR_197651	Methanoculleus methanifontis Lai et al. 2024	22.05925	119.80118	TYPE			species			materialSample	Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanoculleus;Methanoculleus_methanifontis
NR_197645	NR_197645	Methanoculleus oceani Lai et al. 2024	22.2142	119.9145	TYPE			species			materialSample	Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanoculleus;Methanoculleus_oceani
NR_197644	NR_197644	Methanooceanicella nereidis Zhang et al. 2024	22.3764	119.751	TYPE			species			materialSample	Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Methanomicrobia;Methanocellales;Methanocellaceae;Methanooceanicella;Methanooceanicella_nereidis
NR_197641	NR_197641	Promethearchaeum syntrophicum Imachi et al. 2024			TYPE			species			materialSample	Archaea;Promethearchaeati;Promethearchaeota;Promethearchaeia;Promethearchaeales;Promethearchaeaceae;Promethearchaeum;Promethearchaeum_syntrophicum
NR_197638	NR_197638	Methanoculleus formosensis Lai et al. 2024			TYPE			species			materialSample	Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanoculleus;Methanoculleus_formosensis
NR_197636	NR_197636	Nitrosotalea sinensis Lehtovirta-Morley et al. 2024			TYPE			species			materialSample	Archaea;Nitrososphaerota;Nitrososphaeria;Nitrosotaleales;Nitrosotaleaceae;Nitrosotalea;Nitrosotalea_sinensis
NR_197635	NR_197635	Nitrosotalea devaniterrae Lehtovirta-Morley et al. 2024			TYPE			species			materialSample	Archaea;Nitrososphaerota;Nitrososphaeria;Nitrosotaleales;Nitrosotaleaceae;Nitrosotalea;Nitrosotalea_devaniterrae
NR_177394	NR_177394	Haloarcula amylovorans Ma et al. 2024	23.410000	101.660000	TYPE	CGMCC:1.13611		species			materialSample	Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Haloarculaceae;Haloarcula;Haloarcula_amylovorans
NR_177392	NR_177392	Halorientalis pallida Durán-Viseras et al. 2019			TYPE			species			materialSample	Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Haloarculaceae;Halorientalis;Halorientalis_pallida
NR_177389	NR_177389	Haloarcula salinisoli (Durán-Viseras et al. 2021) Ma et al. 2024			TYPE			species			materialSample	Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Haloarculaceae;Haloarcula;Haloarcula_salinisoli
NR_177388	NR_177388	Haloarcula salinisoli (Durán-Viseras et al. 2021) Ma et al. 2024			TYPE			species			materialSample	Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Haloarculaceae;Haloarcula;Haloarcula_salinisoli
NR_177387	NR_177387	Haloarcula salinisoli (Durán-Viseras et al. 2021) Ma et al. 2024			TYPE			species			materialSample	Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Haloarculaceae;Haloarcula;Haloarcula_salinisoli
NR_177386	NR_177386	Haloarcula rubra (Durán-Viseras et al. 2021) Ma et al. 2024			TYPE			species			materialSample	Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Haloarculaceae;Haloarcula;Haloarcula_rubra
NR_177385	NR_177385	Haloarcula rubra (Durán-Viseras et al. 2021) Ma et al. 2024			TYPE			species			materialSample	Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Haloarculaceae;Haloarcula;Haloarcula_rubra
NR_177384	NR_177384	Haloarcula rubra (Durán-Viseras et al. 2021) Ma et al. 2024			TYPE			species			materialSample	Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Haloarculaceae;Haloarcula;Haloarcula_rubra
NR_177415	NR_177415	Haloarcula amylovorans Ma et al. 2024	23.41	101.66	TYPE	CGMCC:1.13611		species			materialSample	Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Haloarculaceae;Haloarcula;Haloarcula_amylovorans
NR_177348	NR_177348	Halorarum halophilum (Cui et al. 2021) Tan et al. 2024	32.34	83.72	TYPE			species			materialSample	Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Haloferacaceae;Halorarum;Halorarum_halophilum
NR_177345	NR_177345	Halorarum salinum (Cui et al. 2021) Tan et al. 2024	41.27	80.25	TYPE			species			materialSample	Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Haloferacaceae;Halorarum;Halorarum_salinum
NR_177367	NR_177367	"Natronocalculus amylovorans" Sorokin et al. 2022	51.400000	79.540000	TYPE			genus			materialSample	Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Haloferacaceae;Natronocalculus;"Natronocalculus_amylovorans"
NR_177349	NR_177349	"Sulfolobus mongibelli" Sokolova et al. 2012	37.729500	15.004400	TYPE			genus			materialSample	Archaea;Thermoproteota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus;"Sulfolobus_mongibelli"
NR_189216	NR_189216	Natronosalvus caseinilyticus Tan et al. 2023	33.086	80.391	TYPE			species			materialSample	Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Natrialbaceae;Natronosalvus;Natronosalvus_caseinilyticus
NR_189209	NR_189209	Natrononativus amylolyticus Li et al. 2023	43.24	112.93	TYPE			species			materialSample	Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Natrialbaceae;Natrononativus;Natrononativus_amylolyticus
NR_189208	NR_189208	Natronosalvus vescus Tan et al. 2023	43.24	112.93	TYPE			species			materialSample	Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Natrialbaceae;Natronosalvus;Natronosalvus_vescus
