ID	accessionNumber	scientificName	decimalLatitude	decimalLongitude	typeStatus	catalogueNumber	identifiedBy	taxonRank	country	locality	basisOfRecord	higherClassification
NR_103343	NR_103343	Mycolicibacterium rhodesiae NBB3	-33.91	150.97				species	Australia	Sydney	materialSample	Bacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycolicibacterium;Mycolicibacterium_rhodesiae
NR_075829	NR_075829	Mycolicibacterium gilvum Spyr1	39.674496	20.840141				species	Greece	near Ioannina, Epirus	materialSample	Bacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycolicibacterium;Mycolicibacterium_gilvum
NR_075650	NR_075650	Mycolicibacterium smegmatis MC2 155						species			materialSample	Bacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycolicibacterium;Mycolicibacterium_smegmatis
NR_075471	NR_075471	Mycolicibacterium gilvum PYR-GCK						species			materialSample	Bacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycolicibacterium;Mycolicibacterium_gilvum
NR_075440	NR_075440	Mycolicibacterium vanbaalenii PYR-1			TYPE			species			materialSample	Bacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycolicibacterium;Mycolicibacterium_vanbaalenii
NR_075427	NR_075427	Mycolicibacterium smegmatis MC2 155						species			materialSample	Bacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycolicibacterium;Mycolicibacterium_smegmatis
NR_075918	NR_075918	Treponema caldarium corrig. (Pohlschroder et al. 1994) Abt et al. 2013	42.22	-120.37	TYPE	DSM:7334		species	USA	Oregon	materialSample	Bacteria;Spirochaetes;Spirochaetales;Treponemataceae;Treponema;Treponema_caldarium
NR_075856	NR_075856	Chloracidobacterium thermophilum Tank and Bryant 2015			TYPE			species			materialSample	Bacteria;Acidobacteria;Blastocatellia;Chloracidobacterium;Chloracidobacterium_thermophilum
NR_075985	NR_075985	Methylophaga nitratireducenticrescens Villeneuve et al. 2013			TYPE			species			materialSample	Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Piscirickettsiaceae;Methylophaga;Methylophaga_nitratireducenticrescens
NR_102660	NR_102660	Rhodanobacter denitrificans Prakash et al. 2012	36.0008	-84.2755	TYPE			species	USA	US DOE Oak Ridge Integrated Field Research Center, TN	materialSample	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Rhodanobacter;Rhodanobacter_denitrificans
NR_121880	NR_121880	Draconibacterium orientale Du et al. 2014			TYPE			species	China	Weihai	materialSample	Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae;Draconibacterium;Draconibacterium_orientale
NR_103299	NR_103299	Serratia plymuthica (Dyar 1895) Bergey et al. 1923 (sic)				CCUG:61396		species			materialSample	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Serratia;Serratia_plymuthica
NR_075617	NR_075617	Brachyspira hyodysenteriae (Harris et al. 1972) Ochiai et al. 1998				ATCC:49526		species			materialSample	Bacteria;Spirochaetes;Brachyspirales;Brachyspiraceae;Brachyspira;Brachyspira_hyodysenteriae
NR_075610	NR_075610	Desulfatibacillum alkenivorans Cravo-Laureau et al. 2004						species			materialSample	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfatibacillum;Desulfatibacillum_alkenivorans
NR_075578	NR_075578	Chlorobaculum parvum Imhoff 2003						species			materialSample	Bacteria;Chlorobi;Chlorobia;Chlorobiales;Chlorobiaceae;Chlorobaculum;Chlorobaculum_parvum
NR_075492	NR_075492	Streptococcus gordonii Kilian et al. 1989				ATCC:35105		species			materialSample	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus_gordonii
NR_075490	NR_075490	Clostridium beijerinckii Donker 1926 (Approved Lists 1980) emend. Keis et al. 2001				NCIMB:8052		species			materialSample	Bacteria;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium_beijerinckii
NR_121911	NR_121911	Trueperella pyogenes (Glage 1903) Yassin et al. 2011						species			materialSample	Bacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Trueperella;Trueperella_pyogenes
NR_121910	NR_121910	Thermocrinis ruber Huber et al. 1999			TYPE	DSM:12173		species			materialSample	Bacteria;Aquificae;Aquificales;Aquificaceae;Thermocrinis;Thermocrinis_ruber
NR_121901	NR_121901	Chania multitudinisentens RB-25			TYPE			species	Malaysia		materialSample	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Chania;Chania_multitudinisentens
NR_121900	NR_121900	Rubrobacter radiotolerans (Yoshinaka et al. 1973) Suzuki et al. 1989				CECT:8386		species			materialSample	Bacteria;Actinobacteria;Rubrobacteria;Rubrobacterales;Rubrobacteraceae;Rubrobacter;Rubrobacter_radiotolerans
NR_121898	NR_121898	Pseudomonas knackmussii B13			TYPE			species			materialSample	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas_knackmussii
NR_121897	NR_121897	Pseudomonas cichorii (Swingle 1925) Stapp 1928						species	South Korea		materialSample	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas_cichorii
NR_121895	NR_121895	Nocardia nova Tsukamura 1983						species			materialSample	Bacteria;Actinobacteria;Corynebacteriales;Nocardiaceae;Nocardia;Nocardia_nova
NR_121894	NR_121894	Neorickettsia helminthoeca Philip et al. 1953						species	USA		materialSample	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Neorickettsia;Neorickettsia_helminthoeca
NR_121892	NR_121892	Mannheimia varigena Angen et al. 1999						species	USA	Nebraska	materialSample	Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Mannheimia;Mannheimia_varigena
NR_121888	NR_121888	Hymenobacter swuensis DY53			TYPE			species			materialSample	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Hymenobacteraceae;Hymenobacter;Hymenobacter_swuensis
