ID	accessionNumber	scientificName	decimalLatitude	decimalLongitude	typeStatus	catalogueNumber	identifiedBy	taxonRank	country	locality	basisOfRecord	higherClassification
NR_103045	NR_103045	Haloarcula hispanica Juez et al. 1986			TYPE	CGMCC:1.2049		species			materialSample	Archaea;Euryarchaeota;Stenosarchaea group;Halobacteria;Halobacteriales;Haloarculaceae;Haloarcula;Haloarcula_hispanica
NR_103043	NR_103043	Methanosalsum zhilinae (Mathrani et al. 1988) Boone and Baker 2002	30.437189	30.334396	TYPE	DSM:4017		species	Egypt	Wadi el Natrun	materialSample	Archaea;Euryarchaeota;Stenosarchaea group;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanosalsum;Methanosalsum_zhilinae
NR_103028	NR_103028	Archaeoglobus veneficus Huber et al. 1998			TYPE	DSM:11195		species	Atlantic Ocean	Mid-Atlantic Ridge	materialSample	Archaea;Euryarchaeota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Archaeoglobus;Archaeoglobus_veneficus
NR_103020	NR_103020	Methanotorris igneus (Burggraf et al. 1990) Whitman 2002	66.780220	-18.480835	TYPE	DSM:5666		species	Iceland		materialSample	Archaea;Euryarchaeota;Methanomada group;Methanococci;Methanococcales;Methanocaldococcaceae;Methanotorris;Methanotorris_igneus
NR_103016	NR_103016	Thermococcus sibiricus Miroshnichenko et al. 2001			TYPE	DSM:12597		species	Russia	western Siberia	materialSample	Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;Thermococcus_sibiricus
NR_103014	NR_103014	Pyrobaculum aerophilum Volkl et al. 1996			TYPE	ATCC:51768		species			materialSample	Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Pyrobaculum;Pyrobaculum_aerophilum
NR_103013	NR_103013	Pyrococcus yayanosii Birrien et al. 2011			TYPE	JCM:16557		species			materialSample	Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Pyrococcus;Pyrococcus_yayanosii
NR_103010	NR_103010	Pyrobaculum oguniense Sako et al. 2001			TYPE	DSM:13380		species	Japan	Tsuetate Hot Spring, Kumamoto prefecture	materialSample	Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Pyrobaculum;Pyrobaculum_oguniense
NR_103008	NR_103008	Ignisphaera aggregans Niederberger et al. 2006			TYPE	DSM:17230		species			materialSample	Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Ignisphaera;Ignisphaera_aggregans
NR_103007	NR_103007	Desulfurococcus mucosus Zillig and Stetter 1983 emend. Perevalova et al. 2016			TYPE	DSM:2162		species	Iceland		materialSample	Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Desulfurococcus;Desulfurococcus_mucosus
NR_102601	NR_102601	Natronomonas moolapensis Burns et al. 2010			TYPE	DSM:18674		species			materialSample	Archaea;Euryarchaeota;Stenosarchaea group;Halobacteria;Halobacteriales;Haloarculaceae;Natronomonas;Natronomonas_moolapensis
NR_102565	NR_102565	Caldisphaera lagunensis Itoh et al. 2003			TYPE	DSM:15908		species	Philippines		materialSample	Archaea;Crenarchaeota;Thermoprotei;Acidilobales;Caldisphaeraceae;Caldisphaera;Caldisphaera_lagunensis
NR_102558	NR_102558	Methanomethylovorans hollandica Lomans et al. 2004			TYPE	DSM:15978		species	Netherlands	The Dekkerswald Institute, Nijmegen	materialSample	Archaea;Euryarchaeota;Stenosarchaea group;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanomethylovorans;Methanomethylovorans_hollandica
NR_102557	NR_102557	Natronococcus occultus Tindall et al. 1984	-1.944	36.252	TYPE	DSM:3396		species	Kenya	Lake Magadi	materialSample	Archaea;Euryarchaeota;Stenosarchaea group;Halobacteria;Natrialbales;Natrialbaceae;Natronococcus;Natronococcus_occultus
NR_102556	NR_102556	Methanoregula formicica Yashiro et al. 2011			TYPE			species	Japan		materialSample	Archaea;Euryarchaeota;Stenosarchaea group;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Methanoregula;Methanoregula_formicica
NR_102555	NR_102555	Halovivax ruber Castillo et al. 2007	43.9167	115.6167	TYPE	DSM:18193		species	China	Lake Xilinhot, Inner Mongolia	materialSample	Archaea;Euryarchaeota;Stenosarchaea group;Halobacteria;Natrialbales;Natrialbaceae;Halovivax;Halovivax_ruber
NR_102554	NR_102554	Natrinema pellirubrum McGenity et al. 1998	40.853	14.153	TYPE	DSM:15624		species	Italy		materialSample	Archaea;Euryarchaeota;Stenosarchaea group;Halobacteria;Natrialbales;Natrialbaceae;Natrinema;Natrinema_pellirubrum
NR_102553	NR_102553	Natronobacterium gregoryi Tindall et al. 1984	-1.9446	36.2522	TYPE	ATCC:43098		species	Kenya	Lake Magadi	materialSample	Archaea;Euryarchaeota;Stenosarchaea group;Halobacteria;Natrialbales;Natrialbaceae;Natronobacterium;Natronobacterium_gregoryi
NR_077055	NR_077055	Methanocaldococcus jannaschii (Jones et al. 1984) Whitman 2002			TYPE	DSM:2661		species			materialSample	Archaea;Euryarchaeota;Methanomada group;Methanococci;Methanococcales;Methanocaldococcaceae;Methanocaldococcus;Methanocaldococcus_jannaschii
NR_077004	NR_077004	Natronomonas pharaonis (Soliman and Truper 1983) Kamekura et al. 1997			TYPE	DSM:2160		species			materialSample	Archaea;Euryarchaeota;Stenosarchaea group;Halobacteria;Halobacteriales;Haloarculaceae;Natronomonas;Natronomonas_pharaonis
NR_076759	NR_076759	Methanohalobium evestigatum corrig. Zhilina and Zavarzin 1988	45.3453	34.49973	TYPE	DSM:3721		species	Russia	Crimea	materialSample	Archaea;Euryarchaeota;Stenosarchaea group;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanohalobium;Methanohalobium_evestigatum
NR_076755	NR_076755	Staphylothermus hellenicus Arab et al. 2000			TYPE	DSM:12710		species	Greece	Palaeochori Bay, Milos	materialSample	Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Staphylothermus;Staphylothermus_hellenicus
NR_076743	NR_076743	Methanocaldococcus infernus (Jeanthon et al. 1998) Whitman 2002			TYPE	DSM:11812		species			materialSample	Archaea;Euryarchaeota;Methanomada group;Methanococci;Methanococcales;Methanocaldococcaceae;Methanocaldococcus;Methanocaldococcus_infernus
NR_076739	NR_076739	Methanohalophilus mahii Paterek and Smith 1988			TYPE	DSM:5219		species			materialSample	Archaea;Euryarchaeota;Stenosarchaea group;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanohalophilus;Methanohalophilus_mahii
NR_076729	NR_076729	Haloferax volcanii (Mullakhanbhai and Larsen 1975) Torreblanca et al. 1986			TYPE	ATCC:29605		species			materialSample	Archaea;Euryarchaeota;Stenosarchaea group;Halobacteria;Haloferacales;Haloferacaceae;Haloferax;Haloferax_volcanii
NR_076728	NR_076728	"Aciduliprofundum boonei" Reysenbach et al. 2006						genus			materialSample	Archaea;Candidatus Thermoplasmatota;DHVE2 group;Aciduliprofundum;"Aciduliprofundum_boonei"
NR_076726	NR_076726	Thermosphaera aggregans Huber et al. 1998			TYPE	DSM:11486		species			materialSample	Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Thermosphaera;Thermosphaera_aggregans
NR_076724	NR_076724	Natrialba magadii (Tindall et al. 1984) Kamekura et al. 1997			TYPE	ATCC:43099		species			materialSample	Archaea;Euryarchaeota;Stenosarchaea group;Halobacteria;Natrialbales;Natrialbaceae;Natrialba;Natrialba_magadii
NR_076719	NR_076719	Ferroglobus placidus Hafenbradl et al. 1997			TYPE	DSM:10642		species			materialSample	Archaea;Euryarchaeota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Ferroglobus;Ferroglobus_placidus
NR_076715	NR_076715	Haloterrigena turkmenica (Zvyagintseva and Tarasov 1989) Ventosa et al. 1999			TYPE	DSM:5511		species			materialSample	Archaea;Euryarchaeota;Stenosarchaea group;Halobacteria;Natrialbales;Natrialbaceae;Haloterrigena;Haloterrigena_turkmenica
NR_076713	NR_076713	Archaeoglobus profundus Burggraf et al. 1990			TYPE	DSM:5631		species			materialSample	Archaea;Euryarchaeota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Archaeoglobus;Archaeoglobus_profundus
NR_076690	NR_076690	Methanocaldococcus vulcanius (Jeanthon et al. 1999) Whitman 2002			TYPE	ATCC:700851		species			materialSample	Archaea;Euryarchaeota;Methanomada group;Methanococci;Methanococcales;Methanocaldococcaceae;Methanocaldococcus;Methanocaldococcus_vulcanius
NR_076674	NR_076674	Methanobrevibacter ruminantium (Smith and Hungate 1958) Balch and Wolfe 1981			TYPE	DSM:1093		species			materialSample	Archaea;Euryarchaeota;Methanomada group;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;Methanobrevibacter_ruminantium
NR_076668	NR_076668	Methanocaldococcus fervens (Jeanthon et al. 1999) Whitman 2002			TYPE	DSM:4213		species			materialSample	Archaea;Euryarchaeota;Methanomada group;Methanococci;Methanococcales;Methanocaldococcaceae;Methanocaldococcus;Methanocaldococcus_fervens
NR_076667	NR_076667	Halomicrobium mukohataei (Ihara et al. 1997) Oren et al. 2002			TYPE	DSM:12286		species			materialSample	Archaea;Euryarchaeota;Stenosarchaea group;Halobacteria;Halobacteriales;Haloarculaceae;Halomicrobium;Halomicrobium_mukohataei
NR_076666	NR_076666	Halorhabdus utahensis Wain et al. 2000			TYPE	DSM:12940		species			materialSample	Archaea;Euryarchaeota;Stenosarchaea group;Halobacteria;Halobacteriales;Haloarculaceae;Halorhabdus;Halorhabdus_utahensis
NR_076632	NR_076632	Thermococcus gammatolerans Jolivet et al. 2003			TYPE	DSM:15229		species			materialSample	Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;Thermococcus_gammatolerans
