ID	accessionNumber	scientificName	decimalLatitude	decimalLongitude	typeStatus	catalogueNumber	identifiedBy	taxonRank	country	locality	basisOfRecord	higherClassification
NR_102996	NR_102996	Mycolicibacterium rhodesiae (Tsukamura et al. 1981) Gupta et al. 2018	-33.91	150.97				species	Australia	Sydney	materialSample	Bacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycolicibacterium;Mycolicibacterium_rhodesiae
NR_076654	NR_076654	Mycolicibacterium smegmatis (Lehmann and Neumann 1899) Gupta et al. 2018						species			materialSample	Bacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycolicibacterium;Mycolicibacterium_smegmatis
NR_076143	NR_076143	Mycolicibacterium gilvum (Stanford and Gunthorpe 1971) Gupta et al. 2018	39.674496	20.840141				species	Greece	near Ioannina, Epirus	materialSample	Bacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycolicibacterium;Mycolicibacterium_gilvum
NR_076110	NR_076110	Mycolicibacterium gilvum (Stanford and Gunthorpe 1971) Gupta et al. 2018						species			materialSample	Bacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycolicibacterium;Mycolicibacterium_gilvum
NR_076107	NR_076107	Mycolicibacterium vanbaalenii PYR-1			TYPE	DSM:7251		species			materialSample	Bacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycolicibacterium;Mycolicibacterium_vanbaalenii
NR_076104	NR_076104	Mycolicibacterium smegmatis (Lehmann and Neumann 1899) Gupta et al. 2018						species			materialSample	Bacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycolicibacterium;Mycolicibacterium_smegmatis
NG_041978	NG_041978	Aggregatibacter actinomycetemcomitans (Klinger 1912) Norskov-Lauritsen and Kilian 2006						species			materialSample	Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter;Aggregatibacter_actinomycetemcomitans
NG_041975	NG_041975	"Glaesserella parasuis" (Biberstein and White 1969) Inzana et al. 2016						genus	China		materialSample	Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Glaesserella;"Glaesserella_parasuis"
NG_041973	NG_041973	Klebsiella michiganensis Saha et al. 2013				KCTC:1686		species			materialSample	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella_michiganensis
NG_041972	NG_041972	Acetivibrio clariflavus (Shiratori et al. 2009) Tindall 2019	35.34	139.49	TYPE	DSM:19732		species	Japan		materialSample	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Acetivibrio;Acetivibrio_clariflavus
NG_041970	NG_041970	Fervidicoccus fontis Perevalova et al. 2010			TYPE	DSM:19380		species	Russia	Uzon caldera, Kamchatka	materialSample	Archaea;Crenarchaeota;Thermoprotei;Fervidicoccales;Fervidicoccaceae;Fervidicoccus;Fervidicoccus_fontis
NG_041968	NG_041968	Brucella suis Huddleson 1929 (Approved Lists 1980)			TYPE	ATCC:23444		species			materialSample	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Brucellaceae;Brucella;Brucella_suis
NG_041965	NG_041965	"Desulfotomaculum reducens" Tebo and Obraztsova 1998			TYPE			genus			materialSample	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Desulfotomaculum;"Desulfotomaculum_reducens"
NR_076078	NR_076078	Deinococcus radiodurans (ex Raj et al. 1960) Brooks and Murray 1981			TYPE	ATCC:13939		species			materialSample	Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;Deinococcaceae;Deinococcus;Deinococcus_radiodurans
NR_076079	NR_076079	Salmonella enterica subsp. enterica serovar Typhimurium			TYPE	ATCC:700720		species			materialSample	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella_enterica
NR_076080	NR_076080	Brucella melitensis bv. 1			TYPE	ATCC:23456		species			materialSample	Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Brucellaceae;Brucella/Ochrobactrum group;Brucella;Brucella_melitensis
NR_076092	NR_076092	Pelotomaculum thermopropionicum Imachi et al. 2002			TYPE	DSM:13744		species			materialSample	Bacteria;Firmicutes;Clostridia;Eubacteriales;Peptococcaceae;Pelotomaculum;Pelotomaculum_thermopropionicum
NR_076094	NR_076094	Mesorhizobium japonicum Martinez-Hidalgo et al. 2016			TYPE			species			materialSample	Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium;Mesorhizobium_japonicum
