ID	accessionNumber	scientificName	decimalLatitude	decimalLongitude	typeStatus	catalogueNumber	identifiedBy	taxonRank	country	locality	basisOfRecord	higherClassification
NG_062852	NG_062852	Scheffersomyces lignosus (Kurtzman) H. Urbina & M. Blackw. 2012			HOLOTYPE	NRRL:YEAST:Y-12856		species			materialSample	Eukaryota;Fungi;Dikarya;Ascomycota;Saccharomycotina;Pichiomycetes;Debaryomycetaceae;Scheffersomyces;Scheffersomyces_lignosus
NG_062851	NG_062851	Scheffersomyces shehatae (H.R. Buckley & van Uden) H. Urbina & M. Blackw. 2012			HOLOTYPE	NRRL:YEAST:Y-12858		species			materialSample	Eukaryota;Fungi;Dikarya;Ascomycota;Saccharomycotina;Pichiomycetes;Debaryomycetaceae;Scheffersomyces;Scheffersomyces_shehatae
NG_062850	NG_062850	Spizellomyces acuminatus (D.J.S. Barr) D.J.S. Barr, 1984			TYPE	CBS:665.73		species			materialSample	Eukaryota;Fungi;Fungi incertae sedis;Chytridiomycota;Chytridiomycota incertae sedis;Chytridiomycetes;Spizellomycetales;Spizellomycetaceae;Spizellomyces;Spizellomyces_acuminatus
NG_062849	NG_062849	Spizellomyces plurigibbosus (D.J.S. Barr) D.J.S. Barr, 1984			TYPE	CBS:668.73		species			materialSample	Eukaryota;Fungi;Fungi incertae sedis;Chytridiomycota;Chytridiomycota incertae sedis;Chytridiomycetes;Spizellomycetales;Spizellomycetaceae;Spizellomyces;Spizellomyces_plurigibbosus
NG_062848	NG_062848	Colletotrichum truncatum (Schwein.) Andrus & W.D. Moore, 1935			EPITYPE	CBS:151.35		species			materialSample	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Hypocreomycetidae;Glomerellales;Glomerellaceae;Colletotrichum;Colletotrichum truncatum species complex;Colletotrichum_truncatum
NG_062847	NG_062847	Colletotrichum spaethianum			EPITYPE	CBS:167.49		species			materialSample	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Hypocreomycetidae;Glomerellales;Glomerellaceae;Colletotrichum;Colletotrichum spaethianum species complex;Colletotrichum_spaethianum
NG_062846	NG_062846	Colletotrichum dematium (Pers.) Grove, 1918			EPITYPE	CBS:125.25		species			materialSample	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Hypocreomycetidae;Glomerellales;Glomerellaceae;Colletotrichum;Colletotrichum dematium species complex;Colletotrichum_dematium
NG_062845	NG_062845	Colletotrichum circinans (Berk.) Voglino, 1907			EPITYPE	CBS:221.81		species			materialSample	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Hypocreomycetidae;Glomerellales;Glomerellaceae;Colletotrichum;Colletotrichum_circinans
NG_062844	NG_062844	Septoria epilobii Westend., 1852			TYPE	CBS:109084		species			materialSample	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Dothideomycetes;Dothideomycetidae;Mycosphaerellales;Mycosphaerellaceae;Septoria;Septoria_epilobii
NG_062843	NG_062843	Septoria urticae Roberge ex Desm. 1847			EPITYPE	CBS:102375		species			materialSample	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Dothideomycetes;Dothideomycetidae;Mycosphaerellales;Mycosphaerellaceae;Septoria;Septoria_urticae
NG_062842	NG_062842	Septoria citricola Ruggieri, 1935			TYPE	CBS:356.36		species			materialSample	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Dothideomycetes;Dothideomycetidae;Mycosphaerellales;Mycosphaerellaceae;Septoria;Septoria_citricola
NG_062841	NG_062841	Colletotrichum gloeosporioides			EPITYPE	CBS:953.97		species			materialSample	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Hypocreomycetidae;Glomerellales;Glomerellaceae;Colletotrichum;Colletotrichum gloeosporioides species complex;Colletotrichum_gloeosporioides
NG_062836	NG_062836	Trichoderma amazonicum			HOLOTYPE	CBS:126898		species			materialSample	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Hypocreomycetidae;Hypocreales;Hypocreaceae;Trichoderma;Trichoderma_amazonicum
