ID	accessionNumber	scientificName	decimalLatitude	decimalLongitude	typeStatus	catalogueNumber	identifiedBy	taxonRank	country	locality	basisOfRecord	higherClassification
NG_245497	NG_245497	Lulesia neofallax (W.H. Lu, Karun. & Tibpromma) Vizzini & Cons., 2025			HOLOTYPE	HKAS:128149		species			materialSample	Eukaryota;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetidae;Agaricales;Tricholomatineae;Entolomataceae;Lulesia;Lulesia_neofallax
NG_243753	NG_243753	Pleurophragmium naviculare (Jing Yang, Jian K. Liu & K.D. Hyde) Réblová & Hern.-Restr., 2025			HOLOTYPE	GZCC:20-0484		species			materialSample	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Sordariomycetes incertae sedis;Pleurophragmium;Pleurophragmium_naviculare
NG_243729	NG_243729	Lulesia solaris (Musumeci, Consiglio & Vizzini) Musumeci, Consiglio & Vizzini, 2023			HOLOTYPE	LUG:19882		species			materialSample	Eukaryota;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetidae;Agaricales;Tricholomatineae;Entolomataceae;Lulesia;Lulesia_solaris
NG_228827	NG_228827	Thelephora bidoupensis (X. Lu & H.S. Yuan) Kõljalg, I. Saar & Svant., 2024			HOLOTYPE	IFP:019342		species			materialSample	Eukaryota;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Thelephorales;Thelephoraceae;Thelephora;Thelephora_bidoupensis
NG_228824	NG_228824	Thelephora pallidocastanea (X. Lu, Y.H. Mu & H.S. Yuan) Kõljalg, I. Saar & Svant., 2024			HOLOTYPE	IFP:19184		species			materialSample	Eukaryota;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Thelephorales;Thelephoraceae;Thelephora;Thelephora_pallidocastanea
NG_088314	NG_088314	Lulesia borealichinensis (L. Fan & N. Mao) Vizzini, Consiglio, P. Alvarado, Angelini & M. Marchetti, 2023			HOLOTYPE	BJTC:FM1781		species			materialSample	Eukaryota;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetidae;Agaricales;Tricholomatineae;Entolomataceae;Lulesia;Lulesia_borealichinensis
NG_070839	NG_070839	Hymenella cerealis (Ellis & Everh.) Crous & J.Z. Groenew., 2025			TYPE	CBS:132.34		species			materialSample	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Pezizomycotina incertae sedis;Hymenella;Hymenella_cerealis
NG_070594	NG_070594	Sclerophomella clematidina (Thüm.) Crous & Bensch, 2025			EPITYPE	CBS:108.79		species			materialSample	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Dothideomycetes;Pleosporomycetidae;Pleosporales;Pleosporineae;Didymellaceae;Sclerophomella;Sclerophomella_clematidina
NG_070497	NG_070497	Helostroma bacarum (Buhagiar) Aime & Bensch, 2025			TYPE	CBS:6526		species			materialSample	Eukaryota;Fungi;Dikarya;Basidiomycota;Ustilaginomycotina;Exobasidiomycetes;Microstromatales;Microstromataceae;Helostroma;Helostroma_bacarum
NG_070388	NG_070388	Microstroma glucosiphilum (T. Kij. & Aime) Aime & Bensch, 2025			HOLOTYPE	CBS:14053		species			materialSample	Eukaryota;Fungi;Dikarya;Basidiomycota;Ustilaginomycotina;Exobasidiomycetes;Microstromatales;Microstromataceae;Microstroma;Microstroma_glucosiphilum
NG_069313	NG_069313	Sclerophomella vodakii (E. Müll.) Crous & Bensch, 2025			HOLOTYPE	CBS:173.53		species			materialSample	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Dothideomycetes;Pleosporomycetidae;Pleosporales;Pleosporineae;Didymellaceae;Sclerophomella;Sclerophomella_vodakii
NG_069016	NG_069016	Sclerophomella clematidis-rectae (Petr.) Crous & Bensch, 2025			TYPE	CBS:507.63		species			materialSample	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Dothideomycetes;Pleosporomycetidae;Pleosporales;Pleosporineae;Didymellaceae;Sclerophomella;Sclerophomella_clematidis-rectae
NG_068897	NG_068897	Lulesia orientalis (S.P. Jian & Zhu L. Yang) Vizzini, Consiglio, P. Alvarado, Angelini & M. Marchetti, 2023			HOLOTYPE	HKAS:78763		species			materialSample	Eukaryota;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetidae;Agaricales;Tricholomatineae;Entolomataceae;Lulesia;Lulesia_orientalis
NG_068652	NG_068652	Pleurophragmium fluviale Réblová & Hern.-Restr., 2025			HOLOTYPE	MFLU:18-1595		species			materialSample	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Sordariomycetes incertae sedis;Pleurophragmium;Pleurophragmium_fluviale
NG_068625	NG_068625	Amphisphaeria neoaquatica M.C. Samar., Maharachch. & K.D. Hyde, 2020			HOLOTYPE	MFLU:15-0077		species			materialSample	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Xylariomycetidae;Amphisphaeriales;Amphisphaeriaceae;Amphisphaeria;Amphisphaeria_neoaquatica
NG_066291	NG_066291	Pleurophragmium asiaticum (Crous) Réblová & Hern.-Restr., 2025			HOLOTYPE	CPC:34535		species			materialSample	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Sordariomycetes incertae sedis;Pleurophragmium;Pleurophragmium_asiaticum
NG_066289	NG_066289	Pleurophragmium septatum (Crous) Réblová & Hern.-Restr., 2025			HOLOTYPE	CPC:34585		species			materialSample	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Sordariomycetes incertae sedis;Pleurophragmium;Pleurophragmium_septatum
NG_063957	NG_063957	Pleurophragmium sorbicola (Crous & R.K. Schumach.) Réblová & Hern.-Restr., 2025			HOLOTYPE	CPC:30455		species			materialSample	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Sordariomycetes incertae sedis;Pleurophragmium;Pleurophragmium_sorbicola
NG_058805	NG_058805	Cuphophyllus griseorufescens (E. Horak) Lodge & Padamsee, 2013			HOLOTYPE	PDD:27230		species			materialSample	Eukaryota;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetidae;Agaricales;Hygrophoraceae;Cuphophyllus;Cuphophyllus_griseorufescens
NG_058787	NG_058787	Cuphophyllus impurus (E. Horak) J.A. Cooper, 2023			HOLOTYPE	PDD:27226		species			materialSample	Eukaryota;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetidae;Agaricales;Hygrophoraceae;Cuphophyllus;Cuphophyllus_impurus
NG_058265	NG_058265	Pseudotaeniolella sabalicola (G. Delgado & A.N. Mill.) G. Delgado & A.N. Mill., 2025			HOLOTYPE	BPI:892972A		species			materialSample	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Sordariomycetidae;Sordariomycetidae incertae sedis;Distoseptisporaceae;Pseudotaeniolella;Pseudotaeniolella_sabalicola
NG_245774	NG_245774	Paramendogia gilmoreae Y.P. Tan, 2025			HOLOTYPE	BRIP:28254a		species			materialSample	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Dothideomycetes;Dothideomycetidae;Myriangiales;Myriangiaceae;Paramendogia;Paramendogia_gilmoreae
NG_245773	NG_245773	Lulesia alachuana (Murrill) Singer, 1970			EPITYPE	FLAS:F-61088		species			materialSample	Eukaryota;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetidae;Agaricales;Tricholomatineae;Entolomataceae;Lulesia;Lulesia_alachuana
